CLONE	NSEQ	NSITE	TREE_LENGTH	LHOOD	KAPPA_MLE	OMEGA_FWR_MLE	OMEGA_CDR_MLE	WRC_2_MLE	GYW_0_MLE	WA_1_MLE	TW_0_MLE	SYC_2_MLE	GRS_0_MLE	TREE
REPERTOIRE	168	104.6000	2.1860	-6135.1743	2.4785	0.5210	0.8790	1.7555	2.8972	2.8005	0.4785	-0.8303	-0.9390	`igphyml --repfile HD_3_lineages_gy.tsv -m HLP --run_id hlp --threads 5 -o lr --omega e,e -t e --motifs WRC_2:0,GYW_0:1,WA_1:2,TW_0:3,SYC_2:4,GRS_0:5 --hotness e,e,e,e,e,e --oformat tab --outname HD_3_igphyml-pass.tab `
80	43	105	2.3846	-1369.8546	2.4785	0.5210	0.8790	1.7555	2.8972	2.8005	0.4785	-0.8303	-0.9390	((((((((((((((((62:0.0685210273,355:0.0487679362):0.0188034443,(206:0.1224211412,226:0.0623513460):0.0055703552):0.0000019542,333:0.0095156832):0.0000005681,64:0.0286928617):0.0095448093,321:0.0291015291):0.0000004086,263:0.0490106360):0.0000007391,(((((38:0.1756215861,373:0.0797451761):0.0179171682,66:0.0495668440):0.0000011970,276:0.0793968301):0.0191814961,53:0.0099894965):0.0092376259,((((40:0.0899036134,(56:0.0296794479,57:0.0399046606):0.0092527173):0.0000006968,(356:0.0590207089,402:0.0588121960):0.0000006655):0.0096134444,375:0.0387528975):0.0000008104,(245:0.0491667081,(300:0.0606089975,360:0.1339875733):0.0195605973):0.0192695144):0.0000006767):0.0000010348):0.0000009899,((50:0.0389159063,(61:0.0192079629,350:0.0390220581):0.0000014747):0.0095896764,(58:0.0193005407,(250:0.0493004442,249:0.0293508349):0.0093870529):0.0000007810):0.0000008113):0.0000004430,(((225:0.0291940613,237:0.0390778928):0.0000008903,234:0.0487987824):0.0095720752,70:0.0990732641):0.0000004093):0.0000008011,(((291:0.1028351923,309:0.0602041389):0.0179033844,313:0.0890443420):0.0000007291,388:0.0191908687):0.0000010192):0.0000006865,298:0.0095945203):0.0000004640,(315:0.0386512450,(338:0.0387212212,339:0.0000007247):0.0095439799):0.0000004177):0.0000007934,54:0.0000000100):0.0000007863,327:0.0095671626):0.0000006703,383:0.0390566470):0.0000000100,80_GERM:0.0000100000);
154	40	105	2.7171	-1534.3924	2.4785	0.5210	0.8790	1.7555	2.8972	2.8005	0.4785	-0.8303	-0.9390	(((((((((((257:0.0000000100,258:0.0097743286):0.1100841536,252:0.0598792753):0.0089858934,65:0.0583606683):0.0097131717,(((228:0.0638524219,393:0.2359718782):0.0161030216,295:0.0588422902):0.0098207972,292:0.0898925308):0.0192559477):0.0000007366,(52:0.1096639174,((246:0.0665355587,306:0.0889450826):0.0162818768,(358:0.0952615049,384:0.1145815751):0.0196251652):0.0065326865):0.0000004304):0.0000006630,(((294:0.1192964495,296:0.0292585819):0.0088148187,324:0.0484396436):0.0000004091,((363:0.0292912080,371:0.0095185239):0.0199250936,255:0.0290781759):0.0190430891):0.0095364694):0.0000006746,320:0.0193578023):0.0000010012,((59:0.0192608632,(304:0.0096168177,(63:0.0488747970,382:0.0592385763):0.0000007689):0.0096095175):0.0000016976,((303:0.0498545058,346:0.0791576267):0.0187491064,((285:0.0386662123,(284:0.0192934197,(287:0.0810161882,376:0.1111077956):0.0087641463):0.0000007724):0.0000008189,269:0.0899425437):0.0095855061):0.0000004381):0.0000007810):0.0000007663,(((404:0.1205893448,(351:0.0599291703,260:0.0710295472):0.0189311502):0.0097209529,396:0.0288532718):0.0000008307,((37:0.0194038978,341:0.0094402153):0.0097466686,345:0.0385675704):0.0000032744):0.0000004427):0.0000004446,(322:0.0685825832,330:0.0000000100):0.0000010116):0.0000000100,154_GERM:0.0000100000);
604	40	105	2.4127	-1375.6709	2.4785	0.5210	0.8790	1.7555	2.8972	2.8005	0.4785	-0.8303	-0.9390	(((((((((253:0.0385061590,254:0.0000007388):0.0383482736,((270:0.0191701979,331:0.0095228549):0.0000008231,(((51:0.0291855472,392:0.2188380799):0.0093138848,353:0.0387481922):0.0094035937,357:0.1105178374):0.0000004186):0.0000008400):0.0000004136,((232:0.0784786198,344:0.0589755392):0.0184924083,(359:0.0560055392,576:0.0393832297):0.0317312166):0.0000007901):0.0095335460,369:0.0487213472):0.0000007651,229:0.0291217665):0.0000006520,((((((60:0.0291273884,((348:0.0595788678,406:0.0903199670):0.0181869046,365:0.0580499903):0.0000006260):0.0000008636,349:0.0581658286):0.0095620802,67:0.1306133069):0.0000004391,286:0.0484118540):0.0000006714,((307:0.0095764296,(325:0.0290220201,326:0.0290914237):0.0000004457):0.0000006617,311:0.0192545889):0.0095686543):0.0000004634,(69:0.0587650662,((((275:0.0497724860,401:0.0288632301):0.0099376939,259:0.0797366668):0.0095449642,241:0.0896642871):0.0000008010,(((248:0.1018807678,370:0.0924104713):0.0066494684,385:0.0391823444):0.0097290163,397:0.0693240977):0.0094736392):0.0000007049):0.0000007948):0.0000006500):0.0000004318,((41:0.0811325586,343:0.0204815683):0.0085322827,(293:0.0097240107,47:0.0797354957):0.0095275429):0.0000008302):0.0000004357,(44:0.0485108732,55:0.0000007904):0.0095967630):0.0000007123,604_GERM:0.0000100000);
28	27	104	1.7340	-992.7924	2.4785	0.5210	0.8790	1.7555	2.8972	2.8005	0.4785	-0.8303	-0.9390	((((((((518:0.0000004823,523:0.0695812475):0.0403786113,505:0.0394739666):0.0090968423,564:0.0891844498):0.0000007399,(492:0.0197661309,538:0.0193584205):0.0297666232):0.0093215696,(((521:0.0000009006,533:0.1345180437):0.0307773531,494:0.0704485514):0.0085841294,420:0.1320732039):0.0000009498):0.0000010234,((((490:0.0682332160,522:0.0386469123):0.0099022412,((480:0.0508060508,504:0.0513551344):0.0289121648,(510:0.0098636568,511:0.0000008546):0.0197200065):0.0097428276):0.0000007538,558:0.0391591661):0.0000008134,((500:0.0851796854,537:0.1488469356):0.0363382003,(493:0.0597703605,527:0.0395350461):0.0095527441):0.0000009375):0.0000008125):0.0000007440,(((82:0.0593757053,543:0.0092355731):0.0397839932,421:0.0893304170):0.0000007795,((508:0.0000007839,486:0.0591696342):0.0097143093,485:0.0594864031):0.0000007398):0.0000007113):0.0000004037,28_GERM:0.0000100000);
214	18	104	1.6815	-862.4641	2.4785	0.5210	0.8790	1.7555	2.8972	2.8005	0.4785	-0.8303	-0.9390	((((((((72:0.0100090464,453:0.0000004271):0.0748654637,431:0.2312611323):0.0265573641,446:0.0802023946):0.0000007193,((460:0.0194198639,((438:0.1018591086,468:0.0420686290):0.0752626221,(442:0.1097717240,479:0.1803576638):0.0071010349):0.0042855065):0.0096907585,593:0.1730640085):0.0000007219):0.0000007198,(((429:0.1047836996,437:0.0300200280):0.0512186764,(441:0.1122402920,580:0.0302132533):0.0098806233):0.0099021454,461:0.0496089900):0.0094888374):0.0000004326,433:0.0390133078):0.0000004550,(428:0.0503454525,447:0.0199928167):0.0190324143):0.0000004213,214_GERM:0.0000100000);
