CLONE	NSEQ	NSITE	TREE_LENGTH	LHOOD	KAPPA_MLE	OMEGA_FWR_MLE	OMEGA_CDR_MLE	WRC_2_MLE	GYW_0_MLE	WA_1_MLE	TW_0_MLE	SYC_2_MLE	GRS_0_MLE	TREE
REPERTOIRE	158	105.0000	0.6697	-3016.1657	2.2812	0.5782	0.8892	1.1404	2.9938	2.5214	0.4654	-0.4400	-0.7723	`igphyml --repfile Infected_1_lineages_gy.tsv -m HLP --run_id hlp --threads 4 -o lr --omega e,e -t e --motifs WRC_2:0,GYW_0:1,WA_1:2,TW_0:3,SYC_2:4,GRS_0:5 --hotness e,e,e,e,e,e --oformat tab --outname Infected_1_igphyml-pass.tab `
489	38	105	1.2189	-791.2050	2.2812	0.5782	0.8892	1.1404	2.9938	2.5214	0.4654	-0.4400	-0.7723	"((((((((((246:0.0292447970,397:0.0096626240):0.0097107609,396:0.0194457727):0.0284251823,916:0.0482633536):0.0113076315,(((790:0.0490926128,789:0.0000023140):0.0097689729,934:0.0487231686):0.0095178210,(905:0.0096405690,907:0.0000010312):0.0000007879):0.0096295228):0.0000004264,(265:0.0692627086,(174:0.0361113649,933:0.0670097885):0.0132660515):0.0000010297):0.0000009898,(858:0.0290350557,(818:0.0290754785,945:0.0388562990):0.0000007815):0.0096075893):0.0000008344,(450:0.0095946114,873:0.0290243290):0.0000004266):0.0000008185,(((177:0.0391630767,796:0.0096861154):0.0096383103,793:0.0192892991):0.0000007239,(187:0.0291036053,936:0.0389935358):0.0000010265):0.0000008096):0.0000008165,(((((391:0.0245461552,393:0.1398909960):0.0245675411,((868:0.0193155454,874:0.0192025370):0.0091342277,466:0.0278444177):0.0015203369):0.0000007444,((802:0.0290994362,((259:0.0000000100,882:0.0096018043):0.0000006681,836:0.0096608525):0.0000007827):0.0000004201,((433:0.0096483643,434:0.0096191443):0.0095762927,871:0.0193588814):0.0000004043):0.0193271790):0.0000006959,((401:0.0390375451,454:0.0095917577):0.0000004514,902:0.0192215273):0.0000007552):0.0000007615,40:0.0000000100):0.0000004598):0.0000000100,489_GERM:0.0000100000);"
523	31	105	0.7867	-534.0150	2.2812	0.5782	0.8892	1.1404	2.9938	2.5214	0.4654	-0.4400	-0.7723	"(((((((((((413:0.0000000100,928:0.0392492548):0.0291553315,((417:0.0291709972,416:0.0000005280):0.0096793866,415:0.0000006607):0.0096440407):0.0096729689,414:0.0097356062):0.0096796544,(453:0.0000004066,919:0.0590411558):0.0096209399):0.0000006635,856:0.0096139874):0.0000004471,((256:0.0290496473,(821:0.0193339190,853:0.0287815403):0.0000013146):0.0095103451,((408:0.0095762596,903:0.0000000100):0.0289300667,797:0.0487655590):0.0000006704):0.0000004428):0.0000008559,34:0.0000000100):0.0000007125,((((((806:0.0385799245,(912:0.0390369958,947:0.0291903689):0.0096409061):0.0000026932,(862:0.0096824260,954:0.0194163992):0.0096372577):0.0000008391,949:0.0193019354):0.0000006871,879:0.0096488611):0.0000007891,904:0.0191216351):0.0000010138,870:0.0193741090):0.0000008097):0.0000008134,(880:0.0095741411,(424:0.0098093415,931:0.0492424077):0.0095971861):0.0000004429):0.0000004452,((249:0.0096689295,937:0.0096675116):0.0038486180,270:0.0587912631):0.0056216204):0.0000000100,523_GERM:0.0000100000);"
404	28	105	0.8333	-526.0264	2.2812	0.5782	0.8892	1.1404	2.9938	2.5214	0.4654	-0.4400	-0.7723	"((((((((((175:0.0000007701,800:0.0290226745):0.0386743926,(456:0.0298628620,944:0.1436036673):0.0087781543):0.0097048645,436:0.0484822370):0.0000013356,((845:0.0194820850,252:0.0595223382):0.0000020812,(846:0.0097417101,848:0.0292263418):0.0000004498):0.0096478350):0.0000006865,886:0.0096315895):0.0000008469,899:0.0096053125):0.0000007960,((470:0.0388799133,820:0.0096393725):0.0000006996,(((792:0.0589762038,915:0.0096686944):0.0095963594,(837:0.0390074312,840:0.0000000100):0.0096101698):0.0000004490,447:0.0389683598):0.0000010028):0.0000007880):0.0000006895,((((423:0.0291636909,854:0.0096206986):0.0000007725,422:0.0192457310):0.0000004074,((455:0.0179468625,906:0.0074079121):0.0034908104,462:0.0192837589):0.0000007947):0.0000007338,(459:0.0096020020,129:0.0194320258):0.0000006780):0.0000004395):0.0000004195,(872:0.0287641513,78:0.0000000100):0.0000007993):0.0000000100,404_GERM:0.0000100000);"
488	24	105	0.8352	-510.3111	2.2812	0.5782	0.8892	1.1404	2.9938	2.5214	0.4654	-0.4400	-0.7723	"((((((((254:0.0292407086,851:0.0000000100):0.0291018881,(421:0.0096369025,813:0.0487119049):0.0000010188):0.0000004148,457:0.0289785774):0.0000008547,(((128:0.1281265476,398:0.1520459427):0.0000009136,798:0.0988336793):0.0094673598,419:0.0096452999):0.0000004421):0.0000007424,(458:0.0193211216,441:0.0000000100):0.0000008418):0.0000004470,((((405:0.0294091900,805:0.0096700240):0.0193341709,448:0.0290539362):0.0000016153,901:0.0096334193):0.0000007898,891:0.0096273646):0.0000006957):0.0000008327,(((38:0.0000000100,(80:0.0193514264,948:0.0491911754):0.0000006856):0.0096452977,794:0.0096063502):0.0000006578,((425:0.0097099310,(429:0.0000010110,838:0.0193727451):0.0097014701):0.0000010162,828:0.0291301052):0.0096444715):0.0000008308):0.0000000100,488_GERM:0.0000100000);"
525	18	105	0.6266	-391.2627	2.2812	0.5782	0.8892	1.1404	2.9938	2.5214	0.4654	-0.4400	-0.7723	"((((((((((((29:0.0000000100,465:0.0194018259):0.0301554508,176:0.1110546146):0.0086524164,(263:0.0193415793,469:0.0290274846):0.0000008196):0.0095944904,782:0.0290262921):0.0000004272,((803:0.0692362935,258:0.0392162834):0.0000007386,920:0.0494407288):0.0096436325):0.0000006657,((826:0.0097713396,827:0.0192765310):0.0095963686,929:0.0290347935):0.0000009967):0.0000008025,943:0.0290039084):0.0000006623,898:0.0095989101):0.0000007673,(269:0.0287660679,935:0.0192957134):0.0000004027):0.0000008053,45:0.0000000100):0.0000009974,855:0.0484603311):0.0000000100,525_GERM:0.0000100000);"
371	10	105	0.1940	-130.9325	2.2812	0.5782	0.8892	1.1404	2.9938	2.5214	0.4654	-0.4400	-0.7723	"(((((((379:0.0292961592,732:0.0589028131):0.0000006803,743:0.0000000100):0.0000007828,747:0.0096004878):0.0000006694,((738:0.0096544620,(749:0.0192885047,753:0.0286343487):0.0000006587):0.0000007173,763:0.0096317061):0.0000007318):0.0000004114,238:0.0096405286):0.0000007697,727:0.0193248429):0.0000000100,371_GERM:0.0000100000);"
344	9	105	0.1932	-132.4132	2.2812	0.5782	0.8892	1.1404	2.9938	2.5214	0.4654	-0.4400	-0.7723	"((((369:0.0096736141,733:0.0000000100):0.0388490524,731:0.0192844179):0.0000012517,((((122:0.0387225535,739:0.0095977287):0.0000010088,(171:0.0000000100,381:0.0385088017):0.0000006836):0.0000004425,737:0.0193039339):0.0000007561,372:0.0192855566):0.0000007228):0.0000000100,344_GERM:0.0000100000);"
